name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nelson, NSN, NZ",9/01/2024,23.9,13.4,19.3,23.9,13.4,19.3,13.8,72.1,0,0,0,,0,0,23.8,37.1,359.9,1022.8,68.4,17.1,363.8,31.2,10,10,2024-01-09T06:04:20,2024-01-09T21:02:31,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",10/01/2024,23.9,15.2,20.2,23.9,15.2,20.2,14.7,71.7,0,0,0,,0,0,14,22.3,356.4,1025.8,88.7,19.6,350.8,30.5,10,10,2024-01-10T06:05:22,2024-01-10T21:02:18,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",11/01/2024,24.2,14.7,20.1,24.2,14.7,20.1,15.6,76,0,0,0,,0,0,25.6,37.1,40.9,1023.2,32.5,16.7,379.6,33,10,10,2024-01-11T06:06:25,2024-01-11T21:02:03,0.98,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",12/01/2024,26.4,16.9,21.6,26.4,16.9,21.6,15.9,70.8,0,0,0,,0,0,40.7,33.5,5.1,1022.6,10.1,19.2,381.4,32.9,10,10,2024-01-12T06:07:30,2024-01-12T21:01:45,0,Clear,Clear conditions throughout the day.,clear-day,93546099999
"Nelson, NSN, NZ",13/01/2024,23.9,18.9,21.1,23.9,18.9,21.1,17.7,81.1,0.2,100,4.17,rain,0,0,28.1,40.7,16.3,1020.7,5.6,15,382.8,33.1,10,10,2024-01-13T06:08:35,2024-01-13T21:01:25,0.05,Rain,Clear conditions throughout the day with morning rain.,rain,93546099999
"Nelson, NSN, NZ",14/01/2024,24.2,15.4,20.6,24.2,15.4,20.6,15,70.6,0,0,0,rain,0,0,35.6,48.2,17.5,1015.7,78.7,18.8,296.3,25.8,10,10,2024-01-14T06:09:42,2024-01-14T21:01:02,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",15/01/2024,26.4,17.4,21.1,26.4,17.4,21.1,13.2,63.8,0,0,0,,0,0,28.4,44.6,296.5,1012.9,79,18.8,340.3,29.3,10,10,2024-01-15T06:10:50,2024-01-15T21:00:38,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",16/01/2024,24.4,15.4,19.2,24.4,15.4,19.2,11.1,59.5,0,0,0,,0,0,13,27.7,359.8,1021.6,28.7,19.2,362.8,31.5,10,10,2024-01-16T06:11:59,2024-01-16T21:00:11,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",17/01/2024,23.4,13.4,19.2,23.4,13.4,19.2,14.1,72.6,0,0,0,,0,0,23.8,31.7,32.5,1021.6,70.8,19.2,317.5,27.5,10,10,2024-01-17T06:13:08,2024-01-17T20:59:42,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",18/01/2024,21.2,19.4,20.4,21.2,19.4,20.4,18.8,90.5,10.2,100,16.67,rain,0,0,22.7,29.5,41,1019.1,95,13.8,41.9,3.6,3,10,2024-01-18T06:14:19,2024-01-18T20:59:11,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,93546099999
