name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nelson, NSN, NZ",19/01/2023,23.2,15.2,19.7,23.2,15.2,19.7,14.9,74,0,0,0,,0,0,20.9,22.3,19.1,1008,12.2,17.5,371,32,10,10,2023-01-19T06:15:47,2023-01-19T20:58:28,0.9,Clear,Clear conditions throughout the day.,clear-day,"93546099999,7JLP"
"Nelson, NSN, NZ",20/01/2023,26.9,14.4,20.7,26.6,14.4,20.7,14.3,69.6,0,0,0,,0,0,33.5,31.7,309.4,1003.7,37,17.3,346.5,30,10,10,2023-01-20T06:16:59,2023-01-20T20:57:52,0.94,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"93546099999,7JLP"
"Nelson, NSN, NZ",21/01/2023,23.2,16.4,20.4,23.2,16.4,20.4,13.7,65.9,0,0,0,,0,0,33.8,27.7,346.3,1009.7,25.4,16.8,323.8,28,9,10,2023-01-21T06:18:12,2023-01-21T20:57:14,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",22/01/2023,24.6,16.1,20,24.6,16.1,20,12.4,63,0,0,0,rain,0,0,22.7,31.7,295.4,1013,13.5,18.5,368.1,31.7,10,10,2023-01-22T06:19:25,2023-01-22T20:56:34,0,Clear,Clear conditions throughout the day.,clear-day,"93546099999,remote"
"Nelson, NSN, NZ",23/01/2023,21.6,16.4,19.4,21.6,16.4,19.4,12.5,64.6,0,0,0,rain,0,0,20.9,27.7,6.7,1017.7,40.9,18.3,295.7,25.7,10,10,2023-01-23T06:20:39,2023-01-23T20:55:51,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",24/01/2023,22.2,16.7,19,22.2,16.7,19,13.2,68.8,0,0,0,,0,0,13.3,22.3,24.2,1020.1,52.6,17.5,276,23.8,10,10,2023-01-24T06:21:54,2023-01-24T20:55:07,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",25/01/2023,21.2,14.4,18.1,21.2,14.4,18.1,13.7,76.1,0,0,0,rain,0,0,21.6,18.4,356.2,1023,29.8,17.4,325.2,28,10,10,2023-01-25T06:23:09,2023-01-25T20:54:21,0.1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"93546099999,remote"
"Nelson, NSN, NZ",26/01/2023,22.4,15.9,19.8,22.4,15.9,19.8,15.6,77.2,0,0,0,,0,0,18.7,31.7,34.6,1021.3,81.8,15.4,302.1,26.1,9,10,2023-01-26T06:24:24,2023-01-26T20:53:32,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",27/01/2023,20.1,15.7,18.1,20.1,15.7,18.1,15,82.5,0.8,100,8.33,rain,0,0,18.7,13,338.5,1015,100,16.6,169.3,14.5,8,10,2023-01-27T06:25:40,2023-01-27T20:52:42,0.17,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,93546099999
"Nelson, NSN, NZ",28/01/2023,27.1,15.1,21.2,26.7,15.1,21.1,11.8,60.7,0.2,100,4.17,rain,0,0,44.6,31.7,153.1,1014.1,84.2,20,329.6,28.4,10,10,2023-01-28T06:26:56,2023-01-28T20:51:50,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,93546099999
"Nelson, NSN, NZ",29/01/2023,21.6,17,19.6,21.6,17,19.6,17.3,87,10,100,12.5,rain,0,0,17.6,16.6,232,1017.2,99.9,12.8,79.5,6.9,6,10,2023-01-29T06:28:13,2023-01-29T20:50:56,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"93546099999,remote"
"Nelson, NSN, NZ",30/01/2023,23.7,19.7,21.5,23.7,19.7,21.5,18.6,83.8,5.2,100,8.33,rain,0,0,18.7,25.9,44.8,1019.1,92.6,18.5,173.4,15,6,10,2023-01-30T06:29:29,2023-01-30T20:50:00,0.27,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"93546099999,remote"
"Nelson, NSN, NZ",31/01/2023,24.4,18.4,20.9,24.4,18.4,20.9,17.2,79.7,0.2,100,4.17,rain,0,0,9.4,13,326.2,1018.6,100,17.6,148.5,12.7,6,10,2023-01-31T06:30:46,2023-01-31T20:49:02,0.3,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"93546099999,remote"
"Nelson, NSN, NZ",1/02/2023,20.9,16.3,19.6,20.9,16.3,19.6,17.6,88.1,1.8,100,8.33,rain,0,0,12.2,14.8,270,1013.4,99.9,12.7,31.8,2.7,2,10,2023-02-01T06:32:03,2023-02-01T20:48:03,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"93546099999,remote"
"Nelson, NSN, NZ",2/02/2023,22.9,19.3,21.4,22.9,19.3,21.4,19.7,90.2,24,100,8.33,rain,0,0,45,44.6,36.9,1011.4,98.9,12.3,269.3,23,8,10,2023-02-02T06:33:20,2023-02-02T20:47:02,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"93546099999,remote"
"Nelson, NSN, NZ",3/02/2023,24.7,19.9,22,24.7,19.9,22,19.4,85.3,0.1,100,4.17,rain,0,0,28.1,31.7,45.8,1015.3,74.6,17.4,292.6,25.1,10,10,2023-02-03T06:34:37,2023-02-03T20:45:59,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"93546099999,remote"
"Nelson, NSN, NZ",4/02/2023,24.9,20.9,22.5,24.9,20.9,22.5,20.3,87.8,0,0,0,,0,0,18,24.1,37.8,1018.1,48.7,15.2,304.3,26.3,9,10,2023-02-04T06:35:54,2023-02-04T20:44:55,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,remote"
"Nelson, NSN, NZ",5/02/2023,22.1,19,21,22.1,19,21,19.6,92,7,100,4.17,rain,0,0,63.4,50,27.5,1012.7,92.7,7.6,37.7,3.1,2,10,2023-02-05T06:37:11,2023-02-05T20:43:49,0.47,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"93546099999,remote"
